"Scope","Target","Status","OldTitle","NewTitle","Detail","BackupPath"
"item page","items/telegrinnies-pink-clear-chest-cover-gold-teeth-jps-edition.html","Updated","Telegrinnies - Pink with Clear Chest Cover & Gold Teeth (JPS Edition)","Telegrinnie - Pink with Clear Chest Cover & Gold Teeth (JPS Edition)","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\telegrinnies-pink-clear-chest-cover-gold-teeth-jps-edition.html"
"item page","items/laa-laa-telegrinnies-sunflowers-8.html","Updated","Telegrinnies Sunflower - Laa-Laa","Telegrinnie Sunflower - Laa-Laa","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\laa-laa-telegrinnies-sunflowers-8.html"
"item page","items/miami-blue-telegrinnies-sunflowers-672.html","Updated","Telegrinnies Sunflower - Miami Blue","Telegrinnie Sunflower - Miami Blue","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\miami-blue-telegrinnies-sunflowers-672.html"
"item page","items/miami-pink-telegrinnies-sunflowers-663.html","Updated","Telegrinnies Sunflower - Miami Pink","Telegrinnie Sunflower - Miami Pink","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\miami-pink-telegrinnies-sunflowers-663.html"
"item page","items/po-telegrinnies-sunflowers-765.html","Updated","Telegrinnies Sunflower - Red","Telegrinnie Sunflower - Red","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\po-telegrinnies-sunflowers-765.html"
"item page","items/dipsy-telegrinnies-sunflowers-3.html","Updated","Telegrinnies Sunflowers - Dipsy","Telegrinnie Sunflowers - Dipsy","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\dipsy-telegrinnies-sunflowers-3.html"
"item page","items/the-grin-frozen-culture-392.html","Updated","The Grin Frozen Culture","Frozen Culture - The Grin","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\the-grin-frozen-culture-392.html"
"item page","items/3-the-simpsons-homer-grin-59.html","Updated","The Simpsons - Homer Grin 3","Homer Grin","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\3-the-simpsons-homer-grin-59.html"
"item page","items/3-the-simpsons-bart-grin-81.html","Updated","The Simpsons: Bart Grin 3","Bart Grin - Stubby","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\3-the-simpsons-bart-grin-81.html"
"item page","items/trick-or-treat-punk-skunk-1056.html","Updated","Trick or Treat Punk Skunk","Punk Skunk - Trick or Treat","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\trick-or-treat-punk-skunk-1056.html"
"item page","items/valentine-dinogrenade-pink-popaganda-exclusive-928.html","Updated","Valentine Dinogrenade (Pink POPaganda Exclusive)","Valentine Dinogrenade - Pink (POPaganda Exclusive)","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\valentine-dinogrenade-pink-popaganda-exclusive-928.html"
"item page","items/48-yellow-charlie-grin-421.html","Updated","Yellow Charlie Grin","Charlie Grin - Yellow","h1, title, image-alt","D:\github-backups\ron-english-toys\update-art-toy-title-names-from-spreadsheet-v1-20260513-100719\items\48-yellow-charlie-grin-421.html"
"index","toys/art-toys-and-editions/index.html","Updated","Yellow Charlie Grin","Charlie Grin - Yellow","Updated card for items/48-yellow-charlie-grin-421.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Valentine Dinogrenade (Pink POPaganda Exclusive)","Valentine Dinogrenade - Pink (POPaganda Exclusive)","Updated card for items/valentine-dinogrenade-pink-popaganda-exclusive-928.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Trick or Treat Punk Skunk","Punk Skunk - Trick or Treat","Updated card for items/trick-or-treat-punk-skunk-1056.html",""
"index","toys/art-toys-and-editions/index.html","Updated","The Simpsons: Bart Grin 3","Bart Grin - Stubby","Updated card for items/3-the-simpsons-bart-grin-81.html",""
"index","toys/art-toys-and-editions/index.html","Updated","The Simpsons - Homer Grin 3","Homer Grin","Updated card for items/3-the-simpsons-homer-grin-59.html",""
"index","toys/art-toys-and-editions/index.html","Updated","The Grin Frozen Culture","Frozen Culture - The Grin","Updated card for items/the-grin-frozen-culture-392.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Telegrinnies Sunflowers - Dipsy","Telegrinnie Sunflowers - Dipsy","Updated card for items/dipsy-telegrinnies-sunflowers-3.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Telegrinnies Sunflower - Red","Telegrinnie Sunflower - Red","Updated card for items/po-telegrinnies-sunflowers-765.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Telegrinnies Sunflower - Miami Pink","Telegrinnie Sunflower - Miami Pink","Updated card for items/miami-pink-telegrinnies-sunflowers-663.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Telegrinnies Sunflower - Miami Blue","Telegrinnie Sunflower - Miami Blue","Updated card for items/miami-blue-telegrinnies-sunflowers-672.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Telegrinnies Sunflower - Laa-Laa","Telegrinnie Sunflower - Laa-Laa","Updated card for items/laa-laa-telegrinnies-sunflowers-8.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Telegrinnies - Pink with Clear Chest Cover & Gold Teeth (JPS Edition)","Telegrinnie - Pink with Clear Chest Cover & Gold Teeth (JPS Edition)","Updated card for items/telegrinnies-pink-clear-chest-cover-gold-teeth-jps-edition.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Telegrinnies - Club Cubic Silver","Telegrinnie - Club Cubic Silver","Updated card for items/telegrinnies-club-cubic-silver-914.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Super Size Me - S.S.F G.I.D.","Super Size Me - S.S.F GID","Updated card for items/super-sized-me-s-s-f-g-i-d-62.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Star Skull - Pearl","Star Skull Walking Stick - Pearl","Updated card for items/pearl-star-skull-386.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Star Skull Frozen Culture","Frozen Culture - Star Skull","Updated card for items/star-skull-frozen-culture-274.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Star Skull - Black Rainbow","Star Skull Walking Stick - Black Rainbow","Updated card for items/black-rainbow-star-skull-341.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Star Skull - Bangkok","Star Skull Walking Stick - Bangkok","Updated card for items/bangkok-star-skull-754.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Smiley Grin - Silver Pearl (AP Version)","Smiley Grin Piggy Bank - Silver Pearl (AP Version)","Updated card for items/ron-english-smiley-grin-silver-pearl-ap-version-899.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Smiley Grin - Pearl & White","Smiley Grin Piggy Bank - Pearl & White","Updated card for items/smiley-grin-pearl-edition-white-grin-778.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Smiley Grin - Pearl & Silver","Smiley Grin Piggy Bank - Pearl & Silver","Updated card for items/smiley-grin-pearl-edition-silver-grin-328.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Smiley Grin - Pearl & Gold","Smiley Grin Piggy Bank - Pearl & Gold","Updated card for items/smiley-grin-pearl-edition-gold-grin-295.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Ronnnie Rabbbit Frozen Culture","Frozen Culture - Ronnnie Rabbbit","Updated card for items/rabbbit-frozen-culture-235.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Red Baron Mousemask Murphy in Airplane","Mousemask Murphy in Airplane - Red Baron","Updated card for items/red-baron-mousemask-murphy-in-airplane-713.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Police Grin - White","Action Figure Police Grin - White","Updated card for items/white-police-grin-212.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Police Grin - Silver AP","Action Figure Police Grin - Silver AP","Updated card for items/silver-ap-police-grin-384.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Police Grin - HipHop Trooper","Action Figure Police Grin - HipHop Trooper","Updated card for items/hiphop-trooper-police-grin-202.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Police Grin - Gold","Action Figure Police Grin - Gold","Updated card for items/gold-police-grin-604.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Police Grin - Gay Empire","Action Figure Police Grin - Gay Empire","Updated card for items/gay-empire-police-grin-303.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Mouse Mask Frozen Culture","Frozen Culture - Mouse Mask","Updated card for items/gas-mask-mouse-frozen-culture-581.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Mc Supersized Frozen Culture","Frozen Culture - Mc Supersized","Updated card for items/mc-supersized-frozen-culture-483.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Iron Skin Grin","Action Figure - Iron Skin Grin","Updated card for items/iron-skin-grin-635.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Have a Grin Day - Be@rbrick Set","Be@rbrick Set - Have a Grin Day","Updated card for items/100-400-have-a-grin-day-be-rbrick-set-809.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Gold Police Grin","Action Figure - Gold Police Grin","Updated card for items/gold-police-grin-834.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Gold Iron Skin Grin","Action Figure - Gold Iron Skin Grin","Updated card for items/gold-iron-skin-grin-689.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Fat Tony - Frozen Culture","Frozen Culture - Fat Tony","Updated card for items/fat-tony-frozen-culture-124.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Dark Star Grin - Gold","Action Figure Dark Star Grin - Gold","Updated card for items/gold-dark-star-grin-987.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Dark Star Grin","Action Figure Dark Star Grin","Updated card for items/dark-star-grin-390.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Creepy Christmas Deadmau5 Grin","Deadmau5 Grin - Creepy Christmas","Updated card for items/creepy-christmas-deadmau5-grin-473.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Club Cubic 7th Anniversary Police Grin","Police Grin - Club Cubic 7th Anniversary","Updated card for items/club-cubic-7th-anniversary-police-grin-875.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Chinese New Year Smiley Grin - Silver","Smiley Grin Piggy Bank - Silver Chinese New Year","Updated card for items/chinese-new-year-smiley-grin-silver-smile-127.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Chinese New Year Smiley Grin - Gold","Smiley Grin Piggy Bank - Gold Chinese New Year","Updated card for items/chinese-new-year-smiley-grin-gold-smile-867.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Charlie Grin Sunflower - MC","Shocking Sunflower - Charlie Grin MC","Updated card for items/m-c-charlie-grin-768.html",""
"index","toys/art-toys-and-editions/index.html","Updated","Charlie Grin Sunflower - Lightning Zest (+NFT)","Shocking Sunflower - Charlie Grin Lightning Zest (+NFT)","Updated card for items/lightning-zest-charlie-grin-sunflower-nft-141.html",""
