"Action","SourceRel","Status","BackupRel","Detail"
"Move to backup","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-overlaps-20260513-103235.csv","Moved","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-overlaps-20260513-103235.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-overlaps-20260513-103632.csv","Moved","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-overlaps-20260513-103632.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-report-20260513-103235.csv","Moved","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-report-20260513-103235.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-report-20260513-103632.csv","Moved","data/generated/create-more-art-toy-categories-and-fix-sunflower-charlie-v2-report-20260513-103632.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v1-category-items-20260513-101955.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v1-category-items-20260513-101955.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v1-overlaps-20260513-101955.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v1-overlaps-20260513-101955.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v1-report-20260513-101955.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v1-report-20260513-101955.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v2-category-items-20260513-102158.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v2-category-items-20260513-102158.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v2-overlaps-20260513-102158.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v2-overlaps-20260513-102158.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v2-report-20260513-102158.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v2-report-20260513-102158.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v3-category-items-20260513-102338.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v3-category-items-20260513-102338.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v3-overlaps-20260513-102338.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v3-overlaps-20260513-102338.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v3-report-20260513-102338.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v3-report-20260513-102338.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v4-category-items-20260513-102420.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v4-category-items-20260513-102420.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v4-overlaps-20260513-102420.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v4-overlaps-20260513-102420.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v4-report-20260513-102420.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v4-report-20260513-102420.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v5-category-items-20260513-102645.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v5-category-items-20260513-102645.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v5-overlaps-20260513-102645.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v5-overlaps-20260513-102645.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v5-report-20260513-102645.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v5-report-20260513-102645.csv","Existing generated report/data file; not needed on live GitHub Pages site."
"Move to backup","data/generated/create-more-art-toy-subcategory-pages-batch-v6-category-items-20260513-103701.csv","Moved","data/generated/create-more-art-toy-subcategory-pages-batch-v6-category-items-20260513-103701.csv","Existing generated report/data file; not needed on live GitHub Pages site."
