"CurrentTitle","PagePath","CurrentSection","CurrentPlatformCharacter","SuggestedGroup","SuggestedCleanTitle","NeedsReview","Notes","Platform","Character","Series","Manufacturer","Category","Edition","Size","MoneyFormattingFlag","LastModified"
"Mono Big Poppa (I Am Retro Exclusive)","items/mono-big-poppa-i-am-retro-exclusive-999.html","Custom Toys","Big Poppa","Other / Needs Review","Mono Big Poppa (I Am Retro Exclusive)","Yes","No confident suggested group from title/platform/metadata.","Big Poppa","","","","Art toy / edition","100","6.00""","","2026-05-12 14:51:30"
"Monotone Count Calorie","items/monotone-count-calorie-162.html","Custom Toys","Count Calorie","Other / Needs Review","Monotone Count Calorie","Yes","No confident suggested group from title/platform/metadata.","Count Calorie","","","","Art toy / edition","750","8.00""","","2026-05-12 15:02:08"
"Monotone Lady Lips","items/monotone-lady-lips-38.html","Custom Toys","Lady Lips","Other / Needs Review","Monotone Lady Lips","Yes","No confident suggested group from title/platform/metadata.","Lady Lips","","","","Art toy / edition","","auto;","","2026-05-12 15:02:08"
"Montana Mouse (Drawing)","items/montana-mouse-drawing-181.html","Custom Toys","","Other / Needs Review","Montana Mouse (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","12.00""","","2026-05-12 15:02:08"
"More Evil Monkeys (Mono Colorway)","items/more-evil-monkeys-mono-colorway-228.html","Custom Toys","More Evil Monkeys","Other / Needs Review","More Evil Monkeys (Mono Colorway)","Yes","No confident suggested group from title/platform/metadata.","More Evil Monkeys","","","","Art toy / edition","","5.90""","","2026-05-12 15:02:08"
"More Evil Monkeys Black","items/more-evil-monkeys-black-1079.html","Custom Toys","More Evil Monkeys","Other / Needs Review","More Evil Monkeys Black","Yes","No confident suggested group from title/platform/metadata.","More Evil Monkeys","","","","Art toy / edition","200","5.90""","","2026-05-12 15:02:08"
"Mousezilla","items/mousezilla-1029.html","Custom Toys","Mousezilla","Other / Needs Review","Mousezilla","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"Muslim Mickey","items/muslim-mickey-495.html","Custom Toys","","Other / Needs Review","Muslim Mickey","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","35","23.00""","","2026-05-12 15:02:08"
"Ninja Mousezilla","items/ninja-mousezilla-318.html","Custom Toys","Mousezilla","Other / Needs Review","Ninja Mousezilla","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","9.00""","","2026-05-12 14:51:31"
"Obesie O'S Mini","items/obesie-o-s-mini-595.html","Custom Toys","Smack, Crack, and Pot","Other / Needs Review","Obesie O'S Mini","Yes","No confident suggested group from title/platform/metadata.","Smack, Crack, and Pot","","","","Art toy / edition","","3.00""","","2026-05-12 14:51:31"
"Obesios Smack, Crack, and Pot","items/obesios-smack-crack-and-pot-385.html","Custom Toys","Smack, Crack, and Pot","Other / Needs Review","Obesios Smack, Crack, and Pot","Yes","No confident suggested group from title/platform/metadata.","Smack, Crack, and Pot","","","","Art toy / edition","100","8.00""","","2026-05-12 14:51:31"
"OG Big Poppa","items/og-big-poppa-1060.html","Custom Toys","Big Poppa","Other / Needs Review","OG Big Poppa","Yes","No confident suggested group from title/platform/metadata.","Big Poppa","","","","Art toy / edition","","6.00""","","2026-05-12 15:02:08"
"OG Evil MC","items/og-evil-mc-535.html","Custom Toys","Evil MC","Other / Needs Review","OG Evil MC","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","15.80""","","2026-05-12 14:51:31"
"OG Forlorn Unicorn","items/og-forlorn-unicorn-117.html","Custom Toys","Forlorn Unicorn","Other / Needs Review","OG Forlorn Unicorn","Yes","No confident suggested group from title/platform/metadata.","Forlorn Unicorn","","","","Art toy / edition","","8.50""","","2026-05-12 15:02:08"
"OG Lady Lips","items/og-lady-lips-445.html","Custom Toys","Lady Lips","Other / Needs Review","OG Lady Lips","Yes","No confident suggested group from title/platform/metadata.","Lady Lips","","","","Art toy / edition","100","auto;","","2026-05-12 15:02:08"
"OG More Evil Monkeys (Set)","items/og-more-evil-monkeys-set-344.html","Custom Toys","More Evil Monkeys","Other / Needs Review","OG More Evil Monkeys (Set)","Yes","No confident suggested group from title/platform/metadata.","More Evil Monkeys","","","","Art toy / edition","200","5.90""","","2026-05-12 15:02:08"
"OG Yellow Grinbot","items/og-yellow-grinbot-297.html","Custom Toys","Canbot","Other / Needs Review","OG Yellow Grinbot","Yes","No confident suggested group from title/platform/metadata.","Canbot","","","","Art toy / edition","","5.50""","","2026-05-12 15:02:08"
"Old Chuck","items/old-chuck-578.html","Custom Toys","Bootleg Action Figure","Other / Needs Review","Old Chuck","Yes","No confident suggested group from title/platform/metadata.","Bootleg Action Figure","","","","Art toy / edition","100","auto;","","2026-05-12 15:02:08"
"Orange Burst Poultry Rex (DCon 2022)","items/orange-burst-poultry-rex-dcon-2022-686.html","Custom Toys","Poultry Rex","Other / Needs Review","Orange Burst Poultry Rex (DCon 2022)","Yes","No confident suggested group from title/platform/metadata.","Poultry Rex","","","","Art toy / edition","","auto;","","2026-05-12 15:02:08"
"Orange East Meets West","items/orange-east-meets-west-829.html","Custom Toys","East Meets West","Other / Needs Review","Orange East Meets West","Yes","No confident suggested group from title/platform/metadata.","East Meets West","","","","Art toy / edition","","auto;","","2026-05-12 15:02:08"
"Orange Falla Sheep","items/orange-falla-sheep-320.html","Custom Toys","Falla Sheep","Other / Needs Review","Orange Falla Sheep","Yes","No confident suggested group from title/platform/metadata.","Falla Sheep","","","","Art toy / edition","","3.50""","","2026-05-12 15:02:08"
"Orange Forlorn Unicorn","items/orange-forlorn-unicorn-893.html","Custom Toys","Forlorn Unicorn","Other / Needs Review","Orange Forlorn Unicorn","Yes","No confident suggested group from title/platform/metadata.","Forlorn Unicorn","","","","Art toy / edition","100","8.50""","","2026-05-12 15:02:08"
"Paws Profile (Drawing)","items/paws-profile-drawing-414.html","Custom Toys","","Other / Needs Review","Paws Profile (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","12.00""","","2026-05-12 15:02:08"
"PEARL STAR SKULL","items/pearl-star-skull-386.html","Custom Toys","Star Skull Walking Stick","Other / Needs Review","PEARL STAR SKULL","Yes","No confident suggested group from title/platform/metadata.","Star Skull Walking Stick","","","","Art toy / edition","88","8.00""","","2026-05-12 14:51:31"
"Pink Cheezy Shocking Sunflower (3 Eyed Sponge)","items/pink-cheezy-shocking-sunflower-3-eyed-sponge-845.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Pink Cheezy Shocking Sunflower (3 Eyed Sponge)","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"Pink Shocking Sunflower (3 Eyed Sponge)","items/pink-shocking-sunflower-3-eyed-sponge-945.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Pink Shocking Sunflower (3 Eyed Sponge)","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"Pink Shocking Sunflower (Smile)","items/pink-shocking-sunflower-smile-353.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Pink Shocking Sunflower (Smile)","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"Plaid Tile Dead Toy Soldier Painting (Blue)","items/plaid-tile-dead-toy-soldier-painting-blue-472.html","Custom Toys","","Other / Needs Review","Plaid Tile Dead Toy Soldier Painting (Blue)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","16.00""","","2026-05-12 15:02:08"
"Plaid Tile Dead Toy Soldier Painting (Green)","items/plaid-tile-dead-toy-soldier-painting-green-491.html","Custom Toys","","Other / Needs Review","Plaid Tile Dead Toy Soldier Painting (Green)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","36.00""","","2026-05-12 15:02:08"
"Plaid Tile Dead Toy Soldier Painting (Purple)","items/plaid-tile-dead-toy-soldier-painting-purple-1061.html","Custom Toys","","Other / Needs Review","Plaid Tile Dead Toy Soldier Painting (Purple)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","16.00""","","2026-05-12 15:02:08"
"Plaid Tile Dead Toy Soldier Painting (Red)","items/plaid-tile-dead-toy-soldier-painting-red-1074.html","Custom Toys","","Other / Needs Review","Plaid Tile Dead Toy Soldier Painting (Red)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","17.00""","","2026-05-12 15:02:08"
"Po Telegrinnies Sunflowers","items/po-telegrinnies-sunflowers-765.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Po Telegrinnies Sunflowers","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"Poohbag Dog : Circus Sideshow","items/poohbag-dog-circus-sideshow-446.html","Custom Toys","Circus Sideshow","Other / Needs Review","Poohbag Dog : Circus Sideshow","Yes","No confident suggested group from title/platform/metadata.","Circus Sideshow","","","","Art toy / edition","","3.00""","","2026-05-12 15:02:08"
"Pop Marilyn Mickeys","items/pop-marilyn-mickeys-394.html","Custom Toys","","Other / Needs Review","Pop Marilyn Mickeys","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","50","20.00""","","2026-05-12 15:02:08"
"Poultry Rex - Painted Purple (DCon '16)","items/poultry-rex-painted-purple-dcon-16-95.html","Custom Toys","Poultry Rex","Other / Needs Review","Poultry Rex - Painted Purple (DCon '16)","Yes","No confident suggested group from title/platform/metadata.","Poultry Rex","","","","Art toy / edition","","auto;","","2026-05-12 15:02:08"
"Poultry Rex - Slime Green","items/poultry-rex-slime-green-443.html","Custom Toys","Poultry Rex","Other / Needs Review","Poultry Rex - Slime Green","Yes","No confident suggested group from title/platform/metadata.","Poultry Rex","","","","Art toy / edition","","8.00""","","2026-05-12 15:02:08"
"Poultry Rex - Unpainted Pink","items/poultry-rex-unpainted-pink-321.html","Custom Toys","Poultry Rex","Other / Needs Review","Poultry Rex - Unpainted Pink","Yes","No confident suggested group from title/platform/metadata.","Poultry Rex","","","","Art toy / edition","","auto;","","2026-05-12 15:02:08"
"Poultry Rex - Unpainted Purple (DCon '16)","items/poultry-rex-unpainted-purple-dcon-16-805.html","Custom Toys","Poultry Rex","Other / Needs Review","Poultry Rex - Unpainted Purple (DCon '16)","Yes","No confident suggested group from title/platform/metadata.","Poultry Rex","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"Poultry Rex - Unpainted Yellow","items/poultry-rex-unpainted-yellow-215.html","Custom Toys","Poultry Rex","Other / Needs Review","Poultry Rex - Unpainted Yellow","Yes","No confident suggested group from title/platform/metadata.","Poultry Rex","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"POULTRY REX REVOLUTION","items/poultry-rex-revolution-45.html","Custom Toys","","Other / Needs Review","POULTRY REX REVOLUTION","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","42.00""","","2026-05-12 09:13:07"
"Primus - New York, NY 2012","items/primus-new-york-ny-2012-816.html","Custom Toys","","Other / Needs Review","Primus - New York, NY 2012","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","200","","","2026-05-12 08:45:51"
"Psycho Camo Big Boner","items/psycho-camo-big-boner-846.html","Custom Toys","Big Boner","Other / Needs Review","Psycho Camo Big Boner","Yes","No confident suggested group from title/platform/metadata.","Big Boner","","","","Art toy / edition","","8.30""","","2026-05-12 15:02:08"
"Punk Skunk","items/punk-skunk-649.html","Custom Toys","Punk Skunk","Other / Needs Review","Punk Skunk","Yes","No confident suggested group from title/platform/metadata.","Punk Skunk","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"Purple & Green Sugar Diabetic Bear","items/purple-green-sugar-diabetic-bear-555.html","Custom Toys","Sugar Diabetic Bear","Other / Needs Review","Purple & Green Sugar Diabetic Bear","Yes","No confident suggested group from title/platform/metadata.","Sugar Diabetic Bear","","","","Art toy / edition","","8.00""","","2026-05-12 15:02:08"
"Purple Dinosaurus","items/purple-dinosaurus-71.html","Custom Toys","","Other / Needs Review","Purple Dinosaurus","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","84.00""","","2026-05-12 09:13:08"
"Qhrist Mini","items/qhrist-mini-830.html","Custom Toys","Qhrist","Other / Needs Review","Qhrist Mini","Yes","No confident suggested group from title/platform/metadata.","Qhrist","","","","Art toy / edition","","3.00""","","2026-05-12 14:51:31"
"Rainbow Figment","items/rainbow-figment-490.html","Custom Toys","","Other / Needs Review","Rainbow Figment","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","100","7.00""","","2026-05-12 15:02:09"
"Rainbow Forlorn Unicorn","items/rainbow-forlorn-unicorn-519.html","Custom Toys","Forlorn Unicorn","Other / Needs Review","Rainbow Forlorn Unicorn","Yes","No confident suggested group from title/platform/metadata.","Forlorn Unicorn","","","","Art toy / edition","100","8.50""","","2026-05-12 15:02:09"
"RAINBOW GIRAFFE","items/rainbow-giraffe-565.html","Custom Toys","","Other / Needs Review","RAINBOW GIRAFFE","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","36.00""","","2026-05-12 09:13:11"
"Red Devil Mousezilla","items/red-devil-mousezilla-190.html","Custom Toys","Mousezilla","Other / Needs Review","Red Devil Mousezilla","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","9.00""","","2026-05-12 14:51:31"
"Red Edition : Peace, Love and Understanding","items/red-edition-peace-love-and-understanding-492.html","Custom Toys","Peace, Love and Understanding","Other / Needs Review","Red Edition : Peace, Love and Understanding","Yes","No confident suggested group from title/platform/metadata.","Peace, Love and Understanding","","","","Art toy / edition","","5.00""","","2026-05-12 15:02:09"
"Red Glitter Glow Shocking Sunflower","items/red-glitter-glow-shocking-sunflower-878.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Red Glitter Glow Shocking Sunflower","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","","17.00""","","2026-05-12 14:51:31"
"RHINOCORN","items/rhinocorn-824.html","Custom Toys","","Other / Needs Review","RHINOCORN","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","24.00""","","2026-05-12 09:13:12"
"Rita Rocket Reindeer","items/rita-rocket-reindeer-544.html","Custom Toys","Rita Rocket Reindeer","Other / Needs Review","Rita Rocket Reindeer","Yes","No confident suggested group from title/platform/metadata.","Rita Rocket Reindeer","","","","Art toy / edition","","auto;","","2026-05-12 14:51:31"
"Ron English #1","items/ron-english-1-938.html","Custom Toys","","Other / Needs Review","Ron English #1","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","","","2026-05-12 09:13:14"
"Ron English #2","items/ron-english-2-1005.html","Custom Toys","","Other / Needs Review","Ron English #2","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","","","2026-05-12 09:13:15"
"Ron English #3","items/ron-english-3-839.html","Custom Toys","","Other / Needs Review","Ron English #3","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","","","2026-05-12 09:13:16"
"RON ENGLISH GIANT SCRATCH 1","items/ron-english-giant-scratch-1-1055.html","Custom Toys","","Other / Needs Review","RON ENGLISH GIANT SCRATCH 1","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art toy / edition","1","48 inches high","","2026-05-12 14:51:32"
"RON ENGLISH GIANT SCRATCH 2","items/ron-english-giant-scratch-2-268.html","Custom Toys","","Other / Needs Review","RON ENGLISH GIANT SCRATCH 2","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art toy / edition","1","48 inches high","","2026-05-12 14:51:32"
"RON ENGLISH GIANT TED 1","items/ron-english-giant-ted-1-241.html","Custom Toys","","Other / Needs Review","RON ENGLISH GIANT TED 1","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art toy / edition","1","48 inches high","","2026-05-12 14:51:32"
"RON ENGLISH GIANT TED 2","items/ron-english-giant-ted-2-530.html","Custom Toys","","Other / Needs Review","RON ENGLISH GIANT TED 2","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art toy / edition","1","48 inches high","","2026-05-12 14:51:32"
"Ron English x Dudebox, Giant Scratch","items/ron-english-x-dudebox-giant-scratch.html","Custom Toys","","Other / Needs Review","Ron English x Dudebox, Giant Scratch","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","","","55 × 30 × 24 inches","","2026-05-12 14:23:37"
"Ronald More Evil Monkeys","items/ronald-more-evil-monkeys-755.html","Custom Toys","More Evil Monkeys","Other / Needs Review","Ronald More Evil Monkeys","Yes","No confident suggested group from title/platform/metadata.","More Evil Monkeys","","","","Art toy / edition","200","5.90""","","2026-05-12 15:02:09"
"Santa Flower (Drawing)","items/santa-flower-drawing-537.html","Custom Toys","","Other / Needs Review","Santa Flower (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","12.00""","","2026-05-12 15:02:09"
"Screaming Clown : Ron English Sugar Circus [172]","items/screaming-clown-ron-english-sugar-circus-172-797.html","Custom Toys","Pop! Vinyl","Other / Needs Review","Screaming Clown : Ron English Sugar Circus [172]","Yes","No confident suggested group from title/platform/metadata.","Pop! Vinyl","","","","Art toy / edition","","3.75""","","2026-05-12 14:51:32"
"Shocking Sunflower (3 Eyed Sponge)","items/shocking-sunflower-3-eyed-sponge-145.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Shocking Sunflower (3 Eyed Sponge)","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","200","16.50""","","2026-05-12 15:02:09"
"Shocking Sunflower (Smiley)","items/shocking-sunflower-smiley-894.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Shocking Sunflower (Smiley)","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","33","16.50""","","2026-05-12 15:02:09"
"Slash Bust","items/slash-bust-222.html","Custom Toys","Slash Bust","Other / Needs Review","Slash Bust","Yes","No confident suggested group from title/platform/metadata.","Slash Bust","","","","Art toy / edition","10","15.00""","","2026-05-12 14:51:32"
"Slo Moe Evolution (Drawing)","items/slo-moe-evolution-drawing-890.html","Custom Toys","","Other / Needs Review","Slo Moe Evolution (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:09"
