"CurrentTitle","PagePath","CurrentSection","CurrentPlatformCharacter","SuggestedGroup","SuggestedCleanTitle","NeedsReview","Notes","Platform","Character","Series","Manufacturer","Category","Edition","Size","MoneyFormattingFlag","LastModified"
"Drug'Em Killfrog","items/drug-em-killfrog-794.html","Custom Toys","Drug'Em Killfrog","Other / Needs Review","Drug'Em Killfrog","Yes","No confident suggested group from title/platform/metadata.","Drug'Em Killfrog","","","","Art toy / edition","","8.00""","","2026-05-12 15:02:06"
"Duck Mermaid (Drawing)","items/duck-mermaid-drawing-113.html","Custom Toys","","Other / Needs Review","Duck Mermaid (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:06"
"Dum English Astronaut Skull Star - Black","items/dum-english-astronaut-skull-star-black-226.html","Custom Toys","Dum English","Other / Needs Review","Dum English Astronaut Skull Star - Black","Yes","No confident suggested group from title/platform/metadata.","Dum English","","","","Art toy / edition","300","10.00""","","2026-05-12 15:02:06"
"Dum English Astronaut Skull Star - Gold","items/dum-english-astronaut-skull-star-gold-441.html","Custom Toys","Dum English","Other / Needs Review","Dum English Astronaut Skull Star - Gold","Yes","No confident suggested group from title/platform/metadata.","Dum English","","","","Art toy / edition","300","10.00""","","2026-05-12 15:02:06"
"Dum English Astronaut Skull Star - Pink","items/dum-english-astronaut-skull-star-pink-136.html","Custom Toys","Dum English","Other / Needs Review","Dum English Astronaut Skull Star - Pink","Yes","No confident suggested group from title/platform/metadata.","Dum English","","","","Art toy / edition","300","10.00""","","2026-05-12 15:02:06"
"Dum English Astronaut Skull Star - Turquoise","items/dum-english-astronaut-skull-star-turquoise-455.html","Custom Toys","Dum English","Other / Needs Review","Dum English Astronaut Skull Star - Turquoise","Yes","No confident suggested group from title/platform/metadata.","Dum English","","","","Art toy / edition","300","10.00""","","2026-05-12 15:02:06"
"DUM ENGLISH ASTRONAUT SKULL STAR NECKLACE - BLACK","items/dum-english-astronaut-skull-star-necklace-black-674.html","Custom Toys","Dum English","Other / Needs Review","DUM ENGLISH ASTRONAUT SKULL STAR NECKLACE - BLACK","Yes","No confident suggested group from title/platform/metadata.","Dum English","","","","Art toy / edition","","3.00""","","2026-05-12 14:51:28"
"DUM ENGLISH ASTRONAUT SKULL STAR NECKLACE - GOLD","items/dum-english-astronaut-skull-star-necklace-gold-110.html","Custom Toys","Dum English","Other / Needs Review","DUM ENGLISH ASTRONAUT SKULL STAR NECKLACE - GOLD","Yes","No confident suggested group from title/platform/metadata.","Dum English","","","","Art toy / edition","","3.00""","","2026-05-12 14:51:28"
"DUM ENGLISH ASTRONAUT SKULL STAR NECKLACE - PINK","items/dum-english-astronaut-skull-star-necklace-pink-637.html","Custom Toys","Dum English","Other / Needs Review","DUM ENGLISH ASTRONAUT SKULL STAR NECKLACE - PINK","Yes","No confident suggested group from title/platform/metadata.","Dum English","","","","Art toy / edition","","3.00""","","2026-05-12 14:51:28"
"DUM ENGLISH ASTRONAUT SKULL STAR NECKLACE - TURQUOISE","items/dum-english-astronaut-skull-star-necklace-turquoise-378.html","Custom Toys","Dum English","Other / Needs Review","DUM ENGLISH ASTRONAUT SKULL STAR NECKLACE - TURQUOISE","Yes","No confident suggested group from title/platform/metadata.","Dum English","","","","Art toy / edition","","3.00""","","2026-05-12 14:51:28"
"Eclipse Storm Parter","items/eclipse-storm-parter-225.html","Custom Toys","Storm Parter","Other / Needs Review","Eclipse Storm Parter","Yes","No confident suggested group from title/platform/metadata.","Storm Parter","","","","Art toy / edition","","17.00""","","2026-05-12 15:02:06"
"Elefanka (SDCC '19)","items/elefanka-sdcc-19-93.html","Custom Toys","Elefanka","Other / Needs Review","Elefanka (SDCC '19)","Yes","No confident suggested group from title/platform/metadata.","Elefanka","","","","Art toy / edition","","8.00""","","2026-05-12 14:51:28"
"Elefanka on her High Horse","items/elefanka-on-her-high-horse-156.html","Custom Toys","","Other / Needs Review","Elefanka on her High Horse","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","14.00""","","2026-05-12 15:02:06"
"Elefanka on Her High Horse (Drawing)","items/elefanka-on-her-high-horse-drawing-850.html","Custom Toys","","Other / Needs Review","Elefanka on Her High Horse (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","17.00""","","2026-05-12 15:02:06"
"Embarrassed in Love - Lavender and Hot Pink","items/embarrassed-in-love-lavender-and-hot-pink-330.html","Custom Toys","Cap'n Cornstarch","Other / Needs Review","Embarrassed in Love - Lavender and Hot Pink","Yes","No confident suggested group from title/platform/metadata.","Cap'n Cornstarch","","","","Art toy / edition","100","9.00""","","2026-05-12 15:02:06"
"EUROPEAN CAMO DOE","items/european-camo-doe-197.html","Custom Toys","","Other / Needs Review","EUROPEAN CAMO DOE","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","","1","52 × 40 inches","","2026-05-12 14:23:34"
"EUROPEAN CAMO STAG","items/european-camo-stag-517.html","Custom Toys","","Other / Needs Review","EUROPEAN CAMO STAG","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","","1","64 × 48 inches","","2026-05-12 14:23:34"
"Everlast Ronquiat","items/everlast-ronquiat-111.html","Custom Toys","Ronquiat","Other / Needs Review","Everlast Ronquiat","Yes","No confident suggested group from title/platform/metadata.","Ronquiat","","","","Art toy / edition","","14.00""","","2026-05-12 15:02:06"
"Evil MC","items/evil-mc-773.html","Custom Toys","Evil MC","Other / Needs Review","Evil MC","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","auto;","","2026-05-12 14:51:28"
"EVIL MC - Camo Edition","items/evil-mc-camo-edition-970.html","Custom Toys","Evil MC","Other / Needs Review","EVIL MC - Camo Edition","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","16.00""","","2026-05-12 14:51:28"
"EVIL MC - Camo Edition ( Variant - Camo Face )","items/evil-mc-camo-edition-variant-camo-face-340.html","Custom Toys","Evil MC","Other / Needs Review","EVIL MC - Camo Edition ( Variant - Camo Face )","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","16.00""","","2026-05-12 14:51:28"
"EVIL MC - Diamond Dust Edition ( Black makeup )","items/evil-mc-diamond-dust-edition-black-makeup-520.html","Custom Toys","Evil MC","Other / Needs Review","EVIL MC - Diamond Dust Edition ( Black makeup )","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","16.00""","","2026-05-12 15:02:06"
"EVIL MC - Diamond Dust Edition ( Red makeup )","items/evil-mc-diamond-dust-edition-red-makeup-175.html","Custom Toys","Evil MC","Other / Needs Review","EVIL MC - Diamond Dust Edition ( Red makeup )","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","16.00""","","2026-05-12 15:02:06"
"Evil MC - Golden Boy","items/evil-mc-golden-boy-680.html","Custom Toys","Evil MC","Other / Needs Review","Evil MC - Golden Boy","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","auto;","","2026-05-12 14:51:28"
"Evil MC - Golden Boy","items/evil-mc-golden-boy-871.html","Custom Toys","Evil MC","Other / Needs Review","Evil MC - Golden Boy","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","auto;","","2026-05-12 14:51:28"
"EVIL MC - Hella Bling Edition","items/evil-mc-hella-bling-edition-236.html","Custom Toys","Evil MC","Other / Needs Review","EVIL MC - Hella Bling Edition","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","15.70""","","2026-05-12 15:02:06"
"Evil MC - Hella Evil edition","items/evil-mc-hella-evil-edition-324.html","Custom Toys","Evil MC","Other / Needs Review","Evil MC - Hella Evil edition","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","15.70""","","2026-05-12 15:02:06"
"Evil MC - Pure Evil edition","items/evil-mc-pure-evil-edition-870.html","Custom Toys","Evil MC","Other / Needs Review","Evil MC - Pure Evil edition","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","15.70""","","2026-05-12 15:02:06"
"Evil MC - Stealth","items/evil-mc-stealth-855.html","Custom Toys","Evil MC","Other / Needs Review","Evil MC - Stealth","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","auto;","","2026-05-12 14:51:28"
"EVIL MC Supervillian","items/evil-mc-supervillian-775.html","Custom Toys","Evil MC","Other / Needs Review","EVIL MC Supervillian","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","auto;","","2026-05-12 14:51:28"
"Eye of the Electric Illuminati","items/eye-of-the-electric-illuminati-362.html","Custom Toys","","Other / Needs Review","Eye of the Electric Illuminati","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","100","13.00""","","2026-05-12 15:02:06"
"Eyeball DNA Dock (Drawing)","items/eyeball-dna-dock-drawing-468.html","Custom Toys","","Other / Needs Review","Eyeball DNA Dock (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:06"
"Fairy Snail (Drawing)","items/fairy-snail-drawing-882.html","Custom Toys","","Other / Needs Review","Fairy Snail (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","17.00""","","2026-05-12 15:02:06"
"Falla Sheep - Black (Chase)","items/falla-sheep-black-chase-223.html","Custom Toys","Falla Sheep","Other / Needs Review","Falla Sheep - Black (Chase)","Yes","No confident suggested group from title/platform/metadata.","Falla Sheep","","","","Art toy / edition","","3.50""","","2026-05-12 15:02:06"
"Falla Sheep - BRY (Black Red Yellow)","items/falla-sheep-bry-black-red-yellow-170.html","Custom Toys","Falla Sheep","Other / Needs Review","Falla Sheep - BRY (Black Red Yellow)","Yes","No confident suggested group from title/platform/metadata.","Falla Sheep","","","","Art toy / edition","","3.50""","","2026-05-12 15:02:06"
"Fauxy Fox","items/fauxy-fox-174.html","Custom Toys","","Other / Needs Review","Fauxy Fox","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","14.00""","","2026-05-12 15:02:06"
"Figment - Bronze","items/figment-bronze-757.html","Custom Toys","Figment Bust","Other / Needs Review","Figment - Bronze","Yes","No confident suggested group from title/platform/metadata.","Figment Bust","","","","Art toy / edition","15","auto;","","2026-05-12 14:51:28"
"Figment - White Bronze","items/figment-white-bronze-250.html","Custom Toys","Figment Bust","Other / Needs Review","Figment - White Bronze","Yes","No confident suggested group from title/platform/metadata.","Figment Bust","","","","Art toy / edition","15","7.50""","","2026-05-12 14:51:28"
"Figment Bust - Blue/Red","items/figment-bust-blue-red-137.html","Custom Toys","Figment Bust","Other / Needs Review","Figment Bust - Blue/Red","Yes","No confident suggested group from title/platform/metadata.","Figment Bust","","","","Art toy / edition","100","13.00""","","2026-05-12 15:02:06"
"FIgment Bust - Blue/Yellow","items/figment-bust-blue-yellow-654.html","Custom Toys","Figment Bust","Other / Needs Review","FIgment Bust - Blue/Yellow","Yes","No confident suggested group from title/platform/metadata.","Figment Bust","","","","Art toy / edition","","13.00""","","2026-05-12 15:02:06"
"Figment Bust - Green","items/figment-bust-green-144.html","Custom Toys","Figment Bust","Other / Needs Review","Figment Bust - Green","Yes","No confident suggested group from title/platform/metadata.","Figment Bust","","","","Art toy / edition","20","13.00""","","2026-05-12 15:02:06"
"FIgment Bust - Green/Violet","items/figment-bust-green-violet-888.html","Custom Toys","Figment Bust","Other / Needs Review","FIgment Bust - Green/Violet","Yes","No confident suggested group from title/platform/metadata.","Figment Bust","","","","Art toy / edition","100","13.00""","","2026-05-12 15:02:06"
"Figment Bust - Pink","items/figment-bust-pink-547.html","Custom Toys","Figment Bust","Other / Needs Review","Figment Bust - Pink","Yes","No confident suggested group from title/platform/metadata.","Figment Bust","","","","Art toy / edition","50","auto;","","2026-05-12 14:51:28"
"Figment Bust Turnaround Sketches","items/figment-bust-turnaround-sketches-554.html","Custom Toys","","Other / Needs Review","Figment Bust Turnaround Sketches","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:06"
"Fire Storm Parter","items/fire-storm-parter-901.html","Custom Toys","Storm Parter","Other / Needs Review","Fire Storm Parter","Yes","No confident suggested group from title/platform/metadata.","Storm Parter","","","","Art toy / edition","","17.00""","","2026-05-12 15:02:06"
"Flesh colored Blank Mousezilla","items/flesh-colored-blank-mousezilla-514.html","Custom Toys","Mousezilla","Other / Needs Review","Flesh colored Blank Mousezilla","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","auto;","","2026-05-12 14:51:28"
"FLINTSTONES ORIGIN STORY","items/flintstones-origin-story-593.html","Custom Toys","","Other / Needs Review","FLINTSTONES ORIGIN STORY","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","40.00""","","2026-05-12 09:11:34"
"Flower Girl (Drawing)","items/flower-girl-drawing-639.html","Custom Toys","","Other / Needs Review","Flower Girl (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","12.00""","","2026-05-12 15:02:06"
"Flower Mermaid (Drawing)","items/flower-mermaid-drawing-704.html","Custom Toys","","Other / Needs Review","Flower Mermaid (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","12.00""","","2026-05-12 15:02:06"
"Forlorn Unicorn","items/forlorn-unicorn-791.html","Custom Toys","","Other / Needs Review","Forlorn Unicorn","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","14.00""","","2026-05-12 15:02:06"
"Franken Evil MC","items/franken-evil-mc-685.html","Custom Toys","Evil MC","Other / Needs Review","Franken Evil MC","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","auto;","","2026-05-12 14:51:28"
"Franken Fat","items/franken-fat-700.html","Custom Toys","Franken Fat","Other / Needs Review","Franken Fat","Yes","No confident suggested group from title/platform/metadata.","Franken Fat","","","","Art toy / edition","","8.50""","","2026-05-12 15:02:06"
"Franken Fat Mini","items/franken-fat-mini-275.html","Custom Toys","Franken Fat","Other / Needs Review","Franken Fat Mini","Yes","No confident suggested group from title/platform/metadata.","Franken Fat","","","","Art toy / edition","","3.00""","","2026-05-12 14:51:28"
"Frankenfat","items/frankenfat-334.html","Custom Toys","","Other / Needs Review","Frankenfat","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:06"
"Freddy Funko Love Combrat","items/freddy-funko-love-combrat-457.html","Custom Toys","Pop! Vinyl","Other / Needs Review","Freddy Funko Love Combrat","Yes","No confident suggested group from title/platform/metadata.","Pop! Vinyl","","","","Art toy / edition","10000","auto;","","2026-05-12 15:02:06"
"Froot Looped Two Ton Sam Mini","items/froot-looped-two-ton-sam-mini-271.html","Custom Toys","Two Ton Sam","Other / Needs Review","Froot Looped Two Ton Sam Mini","Yes","No confident suggested group from title/platform/metadata.","Two Ton Sam","","","","Art toy / edition","","3.00""","","2026-05-12 14:51:28"
"Fruit Looped","items/fruit-looped-559.html","Custom Toys","","Other / Needs Review","Fruit Looped","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:06"
"Gas Mask Mouse Frozen Culture","items/gas-mask-mouse-frozen-culture-581.html","Custom Toys","Frozen Culture","Other / Needs Review","Gas Mask Mouse Frozen Culture","Yes","No confident suggested group from title/platform/metadata.","Frozen Culture","","","","Art toy / edition","","4.50""","","2026-05-12 15:02:06"
"GID Artist Gnome","items/gid-artist-gnome-381.html","Custom Toys","Artist Gnome","Other / Needs Review","GID Artist Gnome","Yes","No confident suggested group from title/platform/metadata.","Artist Gnome","","","","Art toy / edition","","5.00""","","2026-05-12 15:02:06"
"GID Glassjaw (NTWRK Exclusive)","items/gid-glassjaw-ntwrk-exclusive-669.html","Custom Toys","Glassjaw","Other / Needs Review","GID Glassjaw (NTWRK Exclusive)","Yes","No confident suggested group from title/platform/metadata.","Glassjaw","","","","Art toy / edition","10","11.00""","","2026-05-12 15:02:06"
"GID Grinbot","items/gid-grinbot-78.html","Custom Toys","Canbot","Other / Needs Review","GID Grinbot","Yes","No confident suggested group from title/platform/metadata.","Canbot","","","","Art toy / edition","100","5.50""","","2026-05-12 15:02:06"
"GID Modzilla","items/gid-modzilla-198.html","Custom Toys","Modzilla","Other / Needs Review","GID Modzilla","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Art toy / edition","","13.00""","","2026-05-12 15:02:06"
"GID More Evil Monkeys (Set)","items/gid-more-evil-monkeys-set-363.html","Custom Toys","More Evil Monkeys","Other / Needs Review","GID More Evil Monkeys (Set)","Yes","No confident suggested group from title/platform/metadata.","More Evil Monkeys","","","","Art toy / edition","200","5.90""","","2026-05-12 15:02:06"
"GID Musart Boutique Mousezilla","items/gid-musart-boutique-mousezilla-556.html","Custom Toys","Mousezilla","Other / Needs Review","GID Musart Boutique Mousezilla","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","9.00""","","2026-05-12 14:51:28"
"GID OK Doomer : Old Chuck","items/gid-ok-doomer-old-chuck-625.html","Custom Toys","Bootleg Action Figure","Other / Needs Review","GID OK Doomer : Old Chuck","Yes","No confident suggested group from title/platform/metadata.","Bootleg Action Figure","","","","Art toy / edition","","auto;","","2026-05-12 15:02:06"
"GID Star Skull (Kickstarter Exclusive)","items/gid-star-skull-kickstarter-exclusive-240.html","Custom Toys","Star Skull","Other / Needs Review","GID Star Skull (Kickstarter Exclusive)","Yes","No confident suggested group from title/platform/metadata.","Star Skull","","","","Art toy / edition","","7.00""","","2026-05-12 14:51:28"
"GID X-Ray MC (NTWRK Exclusive)","items/gid-x-ray-mc-ntwrk-exclusive-1033.html","Custom Toys","X-Ray MC","Other / Needs Review","GID X-Ray MC (NTWRK Exclusive)","Yes","No confident suggested group from title/platform/metadata.","X-Ray MC","","","","Art toy / edition","30","6.00""","","2026-05-12 15:02:06"
"Gimmie the Loot! Big Poppa","items/gimmie-the-loot-big-poppa-1078.html","Custom Toys","Big Poppa","Other / Needs Review","Gimmie the Loot! Big Poppa","Yes","No confident suggested group from title/platform/metadata.","Big Poppa","","","","Art toy / edition","100","6.00""","","2026-05-12 15:02:06"
"GIRAFFASAURUS","items/giraffasaurus-943.html","Custom Toys","","Other / Needs Review","GIRAFFASAURUS","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","48.00""","","2026-05-12 09:11:40"
"Glitter Lady Lips (Production Sample)","items/glitter-lady-lips-production-sample-950.html","Custom Toys","Lady Lips","Other / Needs Review","Glitter Lady Lips (Production Sample)","Yes","No confident suggested group from title/platform/metadata.","Lady Lips","","","","Art toy / edition","1","7.00""","","2026-05-12 15:02:06"
"Godzilla Portal","items/godzilla-portal-269.html","Custom Toys","","Other / Needs Review","Godzilla Portal","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","36.00""","","2026-05-12 15:02:06"
"Gold & Black Big Poppa (I Am Retro Exclusive)","items/gold-black-big-poppa-i-am-retro-exclusive-482.html","Custom Toys","Big Poppa","Other / Needs Review","Gold & Black Big Poppa (I Am Retro Exclusive)","Yes","No confident suggested group from title/platform/metadata.","Big Poppa","","","","Art toy / edition","60","6.00""","","2026-05-12 14:51:29"
"Gold Mousezilla","items/gold-mousezilla-214.html","Custom Toys","Mousezilla","Other / Needs Review","Gold Mousezilla","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","auto;","","2026-05-12 14:51:29"
"Gold Old Chuck : Ok Doomer","items/gold-old-chuck-ok-doomer-422.html","Custom Toys","Bootleg Action Figure","Other / Needs Review","Gold Old Chuck : Ok Doomer","Yes","No confident suggested group from title/platform/metadata.","Bootleg Action Figure","","","","Art toy / edition","20","auto;","","2026-05-12 14:51:29"
"Golden Glitter EVIL MC","items/golden-glitter-evil-mc-924.html","Custom Toys","Evil MC","Other / Needs Review","Golden Glitter EVIL MC","Yes","No confident suggested group from title/platform/metadata.","Evil MC","","","","Art toy / edition","","15.80""","","2026-05-12 15:02:06"
"Goth Forlorn Unicorn","items/goth-forlorn-unicorn-153.html","Custom Toys","Forlorn Unicorn","Other / Needs Review","Goth Forlorn Unicorn","Yes","No confident suggested group from title/platform/metadata.","Forlorn Unicorn","","","","Art toy / edition","100","auto;","","2026-05-12 15:02:06"
"Grade School Guernica","items/grade-school-guernica-673.html","Custom Toys","","Other / Needs Review","Grade School Guernica","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","95","","","2026-05-12 15:02:06"
"Graveyard Guernica Sketches","items/graveyard-guernica-sketches-840.html","Custom Toys","","Other / Needs Review","Graveyard Guernica Sketches","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","17.00""","","2026-05-12 15:02:06"
"Green (Grey Gun) Falla Sheep","items/green-grey-gun-falla-sheep-880.html","Custom Toys","Falla Sheep","Other / Needs Review","Green (Grey Gun) Falla Sheep","Yes","No confident suggested group from title/platform/metadata.","Falla Sheep","","","","Art toy / edition","","3.50""","","2026-05-12 15:02:06"
"Green (Pink Gun) Fella Sheep","items/green-pink-gun-fella-sheep-761.html","Custom Toys","Falla Sheep","Other / Needs Review","Green (Pink Gun) Fella Sheep","Yes","No confident suggested group from title/platform/metadata.","Falla Sheep","","","","Art toy / edition","","3.50""","","2026-05-12 15:02:06"
"Green Fever Poultry Rex","items/green-fever-poultry-rex-305.html","Custom Toys","Poultry Rex","Other / Needs Review","Green Fever Poultry Rex","Yes","No confident suggested group from title/platform/metadata.","Poultry Rex","","","","Art toy / edition","","auto;","","2026-05-12 14:51:29"
"Grey Falla Sheep","items/grey-falla-sheep-376.html","Custom Toys","Falla Sheep","Other / Needs Review","Grey Falla Sheep","Yes","No confident suggested group from title/platform/metadata.","Falla Sheep","","","","Art toy / edition","","3.50""","","2026-05-12 15:02:06"
"Gridiron (Drawing)","items/gridiron-drawing-290.html","Custom Toys","","Other / Needs Review","Gridiron (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","17.00""","","2026-05-12 15:02:06"
"Grinbot","items/grinbot-516.html","Custom Toys","Canbot","Other / Needs Review","Grinbot","Yes","No confident suggested group from title/platform/metadata.","Canbot","","","","Art toy / edition","","5.50""","","2026-05-12 15:02:06"
"Grinbot Metallic","items/grinbot-metallic-1062.html","Custom Toys","Canbot","Other / Needs Review","Grinbot Metallic","Yes","No confident suggested group from title/platform/metadata.","Canbot","","","","Art toy / edition","","5.50""","","2026-05-12 15:02:06"
"Guernica Trilogy","items/guernica-trilogy-351.html","Custom Toys","","Other / Needs Review","Guernica Trilogy","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","74.00""","","2026-05-12 09:11:53"
"Hand Painted Modzilla","items/hand-painted-modzilla-358.html","Custom Toys","Modzilla","Other / Needs Review","Hand Painted Modzilla","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Custom toy","1","13.00""","","2026-05-12 14:57:02"
"Hand Painted Modzilla","items/hand-painted-modzilla-521.html","Custom Toys","Modzilla","Other / Needs Review","Hand Painted Modzilla","Yes","No confident suggested group from title/platform/metadata.","Modzilla","","","","Custom toy","1","13.00""","","2026-05-12 14:57:02"
"Happy Boy","items/happy-boy-194.html","Custom Toys","Happy Boy","Other / Needs Review","Happy Boy","Yes","No confident suggested group from title/platform/metadata.","Happy Boy","","","","Art toy / edition","","8.00""","","2026-05-12 15:02:06"
"Haze Bob Ganja Gin (The Compound)","items/haze-bob-ganja-gin-the-compound-458.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Haze Bob Ganja Gin (The Compound)","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","500","auto;","","2026-05-12 15:02:06"
"Hologramzilla","items/hologramzilla-307.html","Custom Toys","Mousezilla","Other / Needs Review","Hologramzilla","Yes","No confident suggested group from title/platform/metadata.","Mousezilla","","","","Art toy / edition","","9.00""","","2026-05-12 14:51:29"
"Honey Butt the Obese Bee","items/honey-butt-the-obese-bee-831.html","Custom Toys","Honey Butt the Obese Bee","Other / Needs Review","Honey Butt the Obese Bee","Yes","No confident suggested group from title/platform/metadata.","Honey Butt the Obese Bee","","","","Art toy / edition","","auto;","","2026-05-12 14:51:29"
"Hulkboy Sketch","items/hulkboy-sketch-827.html","Custom Toys","","Other / Needs Review","Hulkboy Sketch","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","17.00""","","2026-05-12 15:02:07"
"Hustle Big Poppa (I am Retro Exclusive)","items/hustle-big-poppa-i-am-retro-exclusive-349.html","Custom Toys","Big Poppa","Other / Needs Review","Hustle Big Poppa (I am Retro Exclusive)","Yes","No confident suggested group from title/platform/metadata.","Big Poppa","","","","Art toy / edition","100","6.00""","","2026-05-12 15:02:07"
"Ice Storm Parter","items/ice-storm-parter-1010.html","Custom Toys","Storm Parter","Other / Needs Review","Ice Storm Parter","Yes","No confident suggested group from title/platform/metadata.","Storm Parter","","","","Art toy / edition","","17.00""","","2026-05-12 15:02:07"
"Jasper Johns is on the Money","items/jasper-johns-is-on-the-money-224.html","Custom Toys","","Other / Needs Review","Jasper Johns is on the Money","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","","","2026-05-12 15:02:07"
"Jewsus : Circus Sideshow","items/jewsus-circus-sideshow-327.html","Custom Toys","Circus Sideshow","Other / Needs Review","Jewsus : Circus Sideshow","Yes","No confident suggested group from title/platform/metadata.","Circus Sideshow","","","","Art toy / edition","","3.00""","","2026-05-12 15:02:07"
"Jewsus Christ superstar","items/jewsus-christ-superstar-632.html","Custom Toys","","Other / Needs Review","Jewsus Christ superstar","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","52.00""","","2026-05-12 09:12:15"
"Joe Cancer on Chemo","items/joe-cancer-on-chemo-90.html","Custom Toys","","Other / Needs Review","Joe Cancer on Chemo","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","","14.00""","","2026-05-12 15:02:07"
"Kaiju Clown (Drawing)","items/kaiju-clown-drawing-43.html","Custom Toys","","Other / Needs Review","Kaiju Clown (Drawing)","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Original Art","1","14.00""","","2026-05-12 15:02:07"
"King Monster","items/king-monster-187.html","Custom Toys","The Dude","Other / Needs Review","King Monster","Yes","No confident suggested group from title/platform/metadata.","The Dude","","","","Art toy / edition","300","auto;","","2026-05-12 14:51:29"
"Kiss Teletubbies","items/kiss-teletubbies-1082.html","Custom Toys","","Other / Needs Review","Kiss Teletubbies","Yes","No confident suggested group from title/platform/metadata. No platform/character/series metadata found.","","","","","Art Print","50","10.00""","","2026-05-12 15:02:07"
"Laa-Laa Telegrinnies Sunflowers","items/laa-laa-telegrinnies-sunflowers-8.html","Custom Toys","Shocking Sunflower","Other / Needs Review","Laa-Laa Telegrinnies Sunflowers","Yes","No confident suggested group from title/platform/metadata.","Shocking Sunflower","","","","Art toy / edition","","auto;","","2026-05-12 14:51:29"
