"HtmlFile","Href","ResolvedTarget","Exists"
"items\48-pink-temper-tot-967.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-pink-temper-tot-967.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\48-pink-temper-tot-967.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-yellow-charlie-grin-421.html","../index.html","index.html","True"
"items\48-yellow-charlie-grin-421.html","../sculptures/index.html","sculptures\index.html","True"
"items\48-yellow-charlie-grin-421.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\48-yellow-charlie-grin-421.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\48-yellow-charlie-grin-421.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-groovy-mc-supersized-skull-164.html","../index.html","index.html","True"
"items\4-groovy-mc-supersized-skull-164.html","../sculptures/index.html","sculptures\index.html","True"
"items\4-groovy-mc-supersized-skull-164.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4-groovy-mc-supersized-skull-164.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\4-groovy-mc-supersized-skull-164.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4th-of-july-mc-supersized-852.html","../index.html","index.html","True"
"items\4th-of-july-mc-supersized-852.html","../sculptures/index.html","sculptures\index.html","True"
"items\4th-of-july-mc-supersized-852.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\4th-of-july-mc-supersized-852.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\4th-of-july-mc-supersized-852.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\8-grin-dunny-691.html","../index.html","index.html","True"
"items\8-grin-dunny-691.html","../sculptures/index.html","sculptures\index.html","True"
"items\8-grin-dunny-691.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\8-grin-dunny-691.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
"items\8-grin-dunny-691.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\8-grin-dunny-chase-9.html","../index.html","index.html","True"
"items\8-grin-dunny-chase-9.html","../sculptures/index.html","sculptures\index.html","True"
"items\8-grin-dunny-chase-9.html","../toys/art-toys-and-editions/index.html","toys\art-toys-and-editions\index.html","True"
"items\8-grin-dunny-chase-9.html","../toys/custom-toys/index.html","toys\custom-toys\index.html","True"
